n_components,accuracy
2,0.58
3,0.585
4,0.518
5,0.557
6,0.554
7,0.612
8,0.634
9,0.641
10,0.624
11,0.62
12,0.643
13,0.644
14,0.643
15,0.653
16,0.659
17,0.654
18,0.672
19,0.674
20,0.662
21,0.654
22,0.649
23,0.653
24,0.647
25,0.647
26,0.637
27,0.649
28,0.647
29,0.648
30,0.664
31,0.664
32,0.663
33,0.672
34,0.674
35,0.669
36,0.663
37,0.655
38,0.658
39,0.653
40,0.65
41,0.646
42,0.655
43,0.65
44,0.636
45,0.638
46,0.633
47,0.632
48,0.63
49,0.624
50,0.633
51,0.625
52,0.625
53,0.621
54,0.614
55,0.607
56,0.614
57,0.616
58,0.611
59,0.604
60,0.603
61,0.616
62,0.605
63,0.619
64,0.611
65,0.609
66,0.601
67,0.598
68,0.596
69,0.582
70,0.593
71,0.599
72,0.595
73,0.589
74,0.598
75,0.6
76,0.6
77,0.605
78,0.601
79,0.591
80,0.594
81,0.6
82,0.597
83,0.595
84,0.59
85,0.577
86,0.572
87,0.568
88,0.564
89,0.571
90,0.564
91,0.568
92,0.576
93,0.564
94,0.559
95,0.558
96,0.563
97,0.556
98,0.566
99,0.566
100,0.573
101,0.569
102,0.557
103,0.573
104,0.564
105,0.571
106,0.563
107,0.559
108,0.566
109,0.567
110,0.566
111,0.559
112,0.564
113,0.573
114,0.57
115,0.564
116,0.559
117,0.549
118,0.571
119,0.569
120,0.567
121,0.555
122,0.565
123,0.562
124,0.566
125,0.555
126,0.566
127,0.555
128,0.57
129,0.553
130,0.558
131,0.557
132,0.556
133,0.557
134,0.565
135,0.556
136,0.559
137,0.548
138,0.549
139,0.534
140,0.541
141,0.547
142,0.537
143,0.536
144,0.546
145,0.536
146,0.53
147,0.532
148,0.532
149,0.545
150,0.539
151,0.539
152,0.535
153,0.53
154,0.535
155,0.533
156,0.528
157,0.526
158,0.537
159,0.528
160,0.53
161,0.533
162,0.531
163,0.528
164,0.542
165,0.54
166,0.531
167,0.532
168,0.542
169,0.545
170,0.544
171,0.541
172,0.547
173,0.541
174,0.543
175,0.548
176,0.559
177,0.556
178,0.539
179,0.544
180,0.543
181,0.546
182,0.535
183,0.542
184,0.532
185,0.539
186,0.545
187,0.536
188,0.529
189,0.538
190,0.534
191,0.53
192,0.529
193,0.527
194,0.53
195,0.529
196,0.528
197,0.544
198,0.524
199,0.525
200,0.53
201,0.524
202,0.527
203,0.526
204,0.52
205,0.521
206,0.538
207,0.529
208,0.522
209,0.524
210,0.527
211,0.526
212,0.528
213,0.524
214,0.525
215,0.534
216,0.528
217,0.53
218,0.527
219,0.515
220,0.529
221,0.527
222,0.51
223,0.525
224,0.521
225,0.511
226,0.523
227,0.503
228,0.514
229,0.508
230,0.514
231,0.52
232,0.518
233,0.499
234,0.522
235,0.504
236,0.509
237,0.511
238,0.507
239,0.52
240,0.513
241,0.52
242,0.51
243,0.504
244,0.502
245,0.516
246,0.509
247,0.513
248,0.496
249,0.51
250,0.509
251,0.509
252,0.505
253,0.505
254,0.519
255,0.509
256,0.503
257,0.5
258,0.508
259,0.516
260,0.498
261,0.513
262,0.516
263,0.515
264,0.503
265,0.494
266,0.504
267,0.516
268,0.504
269,0.517
270,0.518
271,0.522
272,0.506
273,0.502
274,0.515
275,0.512
276,0.516
277,0.498
278,0.502
279,0.509
280,0.506
281,0.514
282,0.512
283,0.51
284,0.507
285,0.504
286,0.512
287,0.501
288,0.517
289,0.506
290,0.507
291,0.513
292,0.497
293,0.508
294,0.509
295,0.516
296,0.498
297,0.505
298,0.503
299,0.502
300,0.52
301,0.494
302,0.518
303,0.516
304,0.514
305,0.505
306,0.516
307,0.522
308,0.514
309,0.511
310,0.506
311,0.517
312,0.509
313,0.497
314,0.507
315,0.519
316,0.505
317,0.5
318,0.514
319,0.519
320,0.509
321,0.516
322,0.504
323,0.51
324,0.519
325,0.513
326,0.517
327,0.518
328,0.532
329,0.514
330,0.519
331,0.514
332,0.515
333,0.511
334,0.516
335,0.518
336,0.526
337,0.518
338,0.515
339,0.509
340,0.513
341,0.513
342,0.51
343,0.503
344,0.52
345,0.492
346,0.518
347,0.521
348,0.514
349,0.523
350,0.514
351,0.51
352,0.511
353,0.516
354,0.514
355,0.515
356,0.515
357,0.516
358,0.509
359,0.517
360,0.508
361,0.513
362,0.513
363,0.491
364,0.52
365,0.509
366,0.511
367,0.518
368,0.515
369,0.514
370,0.522
371,0.517
372,0.514
373,0.512
374,0.516
375,0.508
376,0.512
377,0.514
378,0.525
379,0.499
380,0.51
381,0.52
382,0.52
383,0.516
384,0.521
385,0.508
386,0.501
387,0.515
388,0.519
389,0.508
390,0.51
391,0.513
392,0.506
393,0.511
394,0.514
395,0.51
396,0.521
397,0.514
398,0.509
399,0.502
400,0.515
401,0.511
402,0.51
403,0.519
404,0.515
405,0.496
406,0.512
407,0.506
408,0.512
409,0.503
410,0.5
411,0.511
412,0.499
413,0.508
414,0.51
415,0.514
416,0.51
417,0.504
418,0.517
419,0.523
420,0.517
421,0.506
422,0.51
423,0.514
424,0.519
425,0.52
426,0.494
427,0.514
428,0.512
429,0.516
430,0.507
431,0.51
432,0.523
433,0.525
434,0.494
435,0.498
436,0.504
437,0.512
438,0.514
439,0.507
440,0.5
441,0.5
442,0.511
443,0.52
444,0.513
445,0.522
446,0.501
447,0.509
448,0.51
449,0.516
450,0.528
451,0.52
452,0.508
453,0.514
454,0.523
455,0.506
456,0.507
457,0.524
458,0.508
459,0.516
460,0.506
461,0.504
462,0.519
463,0.503
464,0.507
465,0.513
466,0.52
467,0.512
468,0.512
469,0.508
470,0.522
471,0.516
472,0.518
473,0.508
474,0.515
475,0.512
476,0.518
477,0.503
478,0.501
479,0.521
480,0.522
481,0.521
482,0.518
483,0.508
484,0.517
485,0.522
486,0.519
487,0.493
488,0.501
489,0.512
490,0.517
491,0.513
492,0.508
493,0.521
494,0.522
495,0.512
496,0.514
497,0.517
498,0.514
499,0.511
500,0.514
